id,text,label
1,bathong kamogelo,unknown
2,bbmzansi channelotv no she was amazing between the ladies who came here its her and lerato big ups,unknown
3,xongotela94 siyalenkoe zibele27351607 wise30152072 zebpablo10 casspernyovest akaworldwide abo lerato la 2 litre and its too much sauce oh please,unknown
4,no but do you guys see my wifeseponono sa ga marumolerato la pelo yakano way man,unknown
5,diepcitymzansi entlak what kind of a friend is nox after she assured lerato gore she would never hurt her intentionally but now she just fucked bafana on his wedding day letoto will never leave sloot,unknown
6,oooooooooh nox you just destroyed leratos heart into pieces diepcitymzansi,unknown
7,poor lerato diepcity,unknown
8,relebohlekabelo i had an amazing one thank you lerato laka and youre not late,unknown
9,leratobafanasmanga diepcity itslikeawedding,unknown
10,gatwe re badilwe nna ke seo nna ha ke dumele,unknown
11,joanjoanmash i dont know and the weather ha e dumele,unknown
12,motho a dumele gore boyfriend yage e mo imise mara antse a bona e nwa batho every weekend,unknown
13,motho a tswe ko gabo are gwa tonya mara a yo robala ka lepona ko metseng ya bathora dibona mara,unknown
14,camberrycam mos rena re tla tshaba go tsamaya ka maponapona ko metseng ya rona,unknown
15,going to try it will come back with some feedback kodwa moroto,unknown
16,cmbulelemag moroto cold zonke bonke nje,unknown
17,zeeshamase hlanyos ilwa,unknown
18,nna kana ke bona meleko bo give me a second chance letso ill do better letso motho ebe a fumbola ka probation what a waste of time,unknown
19,this goes for the abc tooebile ba ka holimo meleko,unknown
20,preciousmalets meleko fela,unknown
21,shaanmothae ba tsebang ctpheto would say this is himmotho enoa o meleko hn,unknown
22,mocats kanonor preciouspopi mayalegacy tsepspeare wordle 277 56meleko,unknown
23,lebohimself meleko broer,unknown
24,raphy che o swaswa hn,unknown
25,andiswanzwayiba boineelo teases me till this day,unknown
26,christ jehovah ga rena ditiro,unknown
27,mynameislollik letlaa hetwa ke ditiro kana hagongwe reabo rebatla gole hira,unknown
28,powegffmo nne ke phirimisa ditiro tsa monna nna ke mo tima mmeche,unknown
29,thapz nna ke ipatlela polase,unknown
30,the problem is dintwa ga di fele,unknown
31,banamalome gevaarlik21 tebzasandries ema pele wena ka dintwa rea lesotho,unknown
32,kwenaless ronaldmohlala beam10550983 o rata dintwa mon,unknown
33,ipsmok a ke gane mabitso a fela mara a mangwe ona aowa hle,unknown
34,marago a mangwe ha ng ng,unknown
35,modimo leba pelo hela,unknown
36,celousrach ehe o e leba jalo,unknown
37,ndimuvenda khudutortoise,unknown
38,i have this 12 year old nephew o ratang manyalo gorehe even listens to mmaausis musicone of his faves is segonyanamothaka o tlhakana berese gore when that song plays,unknown
39,mogorositld heela wena kana ga o itse dilo mothaka yo mongwe o ne a kgona go kopa mo buka ya moral education mme go kwalwa agriculture,unknown
40,ottissnr di seka tsa jewellery ke tshupai have done that,unknown
41,willymasoa manasemasumpa disaroboro cadamgaga malekeselina nthabipule sabbymasabi kingv058 mastermindmm tendermrasty mathotokumalo nanicheba ntofontofo julz46 moreliferadio ratomohale tshedsonw lesedifm tabeng efengtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwangtseratwang,unknown
42,proverbmusic primeafricansec bjanong wa pallwa ke go re mema re le kgauswi bjana re tlo gobona physicallyface to face,unknown
43,if its not lefika its slax7529 my cousins are always trynna kill me ha e le nako ya mmutla yone,unknown
44,immmchosen nna ntlogele,unknown
45,bogosi100 dumoqhakaza b o g o s i ntlogele tuuuuu,unknown
46,omokgolela ntlogele,unknown
47,jackinho21 dont you have an lsd tomorrow morning ntlogele tu,unknown
48,o lapisa gore ke batla go loga kana,unknown
49,kanti gatwe re loga ha kae mo kgweding,unknown
50,eerahza gooner67mdh kgale ke nwa joh,unknown
51,ba fedile kgale bawe,unknown
52,di beer tseo tsa r1 bare ke vaccine kgale le sokodisa le ganoe tlhaba,unknown
53,yerrrr i made plans with a friend to go up kgale hill tomorrow,unknown
54,wena mara kgale o di bona tlhe mfanak,unknown
55,dont be a borinq boyfriendjust freeze durinq sex and stare at the corner and say ba batlanq bah cause kgale ba tlhokofetse,unknown
56,elsienaskhosana dia thoma ese kgale re tlabe re le broke ka 5pm,unknown
57,cianash kgale kego bona gore you not very giving,unknown
58,lebomosebetsi lmfao kana ga ke gopola ko ke tswang nkabo ebile ele kgale ke montshitse gore a tswe jang mo botshelong jwame he soften me up and shit,unknown
59,advobarryroux haai maanke ntho tsa kgale tsenai mean its 2022,unknown
60,straighttopjita bonolomaphutha kgale ke hamba shamele nou ntse ke hamba ke go tlotlele,unknown
61,tlharantlhope lol metaele eo ya lwesa kgale ke ebona ko spaneng,unknown
62,skepselsa motho waka wa kgale,unknown
63,bonololeb yena go tloga kgale a na le great taste in music,unknown
64,disconicholas o mphe di soccer boots txa kgale mokoena,unknown
65,justfoza etla plus kgale ko beile bambara,unknown
66,mash2mashoko ketlo delete nou eseng kgale babe,unknown
67,nna kgale ke di bona yoh,unknown
68,advobarryroux lelakamister banyaka go lokia situation ya batswadi ba bona kgale ba loya ke batho so now is their turnwt goes around comes aroundsangoma is just a cover name nna rea tseba gore most enoba baloi,unknown
69,nyzer01 re batho ba kgale ntwana,unknown
70,matlabowilson my friend wena kgale o mpone struu im tall now,unknown
71,kefilwefee lmao friend kgale ra bolela ka ntho tse so maan but remember when you were asking about birthday ideas last year and i told you to get it i think i did mention weed and it i did friend,unknown
72,aona ko ba nyakang ngweti ya lapa ke kgale,unknown
73,tillytetelo kgale autlwa batho bare netflix n chill,unknown
74,lelomanoto gate ke motho wa kgale,unknown
75,fabacademic kgale o le lezothi man,unknown
76,nefpheno matimuhelly there was no break inthey knocked saying dumelang sanibonaniand grootman came out and they tell him we here to ask for your side of the story ppl in the community say u sell drugs what is your commenthow is that a criminal offence,unknown
77,dumelang o ke ma bina peba,unknown
